Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_Media_Ens,TMIN_Media_Ens,TMEDIA_Media_Ens,Prec_Media_Ens,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-01-01,28.900,10.000,0.000,19.697,,,,,,,,,,,,,,,,,,,,,17.697,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-02,25.800,9.200,1.250,17.134,,,,,,,,,,,,,,,,,,,,,15.134,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-03,19.400,7.500,0.000,13.147,,,,,,,,,,,,,,,,,,,,,11.147,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-04,21.600,9.500,0.000,15.372,,,,,,,,,,,,,,,,,,,,,13.372,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-05,31.100,8.100,0.000,19.822,,,,,,,,,,,,,,,,,,,,,17.822,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-06,32.000,14.600,0.250,23.168,,,,,,,,,,,,,,,,,,,,,21.168,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-07,24.200,12.500,0.250,19.185,,,,,,,,,,,,,,,,,,,,,17.185,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-08,22.600,5.300,0.000,14.295,,,,,,,,,,,,,,,,,,,,,12.295,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-09,25.500,11.700,0.000,18.228,,,,,,,,,,,,,,,,,,,,,16.228,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-10,27.900,14.900,0.000,20.465,,,,,,,,,,,,,,,,,,,,,18.465,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-11,35.800,12.700,0.000,23.593,,,,,,,,,,,,,,,,,,,,,21.593,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-12,39.200,17.500,1.250,25.769,,,,,,,,,,,,,,,,,,,,,23.769,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-13,27.000,15.800,0.750,19.809,,,,,,,,,,,,,,,,,,,,,17.809,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-14,32.900,12.300,7.750,22.326,,,,,,,,,,,,,,,,,,,,,20.326,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-15,30.400,17.200,0.000,22.735,,,,,,,,,,,,,,,,,,,,,20.735,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-16,29.400,10.300,0.250,20.376,,,,,,,,,,,,,,,,,,,,,18.376,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-17,34.600,15.500,3.750,20.867,,,,,,,,,,,,,,,,,,,,,18.867,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-18,22.800,8.800,0.250,16.189,,,,,,,,,,,,,,,,,,,,,14.189,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-19,23.600,5.800,0.000,14.770,,,,,,,,,,,,,,,,,,,,,12.770,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-20,28.300,7.600,0.000,18.505,,,,,,,,,,,,,,,,,,,,,16.505,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-21,31.100,14.600,0.000,22.611,,,,,,,,,,,,,,,,,,,,,20.611,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-22,31.900,16.000,0.000,23.720,,,,,,,,,,,,,,,,,,,,,21.720,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-23,33.600,16.900,0.000,24.708,,,,,,,,,,,,,,,,,,,,,22.708,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-24,32.200,18.400,0.000,24.515,,,,,,,,,,,,,,,,,,,,,22.515,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-25,35.500,19.000,0.000,26.692,,,,,,,,,,,,,,,,,,,,,24.692,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-26,35.300,19.900,3.500,25.228,,,,,,,,,,,,,,,,,,,,,23.228,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-27,27.500,17.000,0.000,20.918,,,,,,,,,,,,,,,,,,,,,18.918,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-28,31.600,9.700,0.000,19.665,,,,,,,,,,,,,,,,,,,,,17.665,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-29,29.600,13.500,0.000,21.222,,,,,,,,,,,,,,,,,,,,,19.222,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-30,28.300,18.100,2.250,21.936,,,,,,,,,,,,,,,,,,,,,19.936,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-01-31,30.000,15.800,0.000,22.031,,,,,,,,,,,,,,,,,,,,,20.031,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-01,30.200,15.500,0.750,22.080,,,,,,,,,,,,,,,,,,,,,20.080,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-02,36.700,18.700,0.000,26.956,,,,,,,,,,,,,,,,,,,,,24.956,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-03,33.300,20.000,0.000,25.742,,,,,,,,,,,,,,,,,,,,,23.742,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-04,30.400,14.300,0.250,21.165,,,,,,,,,,,,,,,,,,,,,19.165,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-05,29.300,17.300,0.000,22.012,,,,,,,,,,,,,,,,,,,,,20.012,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-06,29.500,9.700,0.000,19.755,,,,,,,,,,,,,,,,,,,,,17.755,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-07,27.700,12.300,0.000,19.325,,,,,,,,,,,,,,,,,,,,,17.325,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-08,31.300,10.100,0.000,19.974,,,,,,,,,,,,,,,,,,,,,17.974,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-09,29.700,16.200,4.250,20.839,,,,,,,,,,,,,,,,,,,,,18.839,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-10,32.700,16.800,3.000,23.035,,,,,,,,,,,,,,,,,,,,,21.035,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-11,25.300,16.300,0.000,20.810,,,,,,,,,,,,,,,,,,,,,18.810,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-12,28.600,12.700,0.000,19.560,,,,,,,,,,,,,,,,,,,,,17.560,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
2026-02-13,22.500,10.100,0.000,16.440,,,,,,,,,,,,,,,,,,,,,14.440,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-09-20T14:18:40+00:00
